date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,soil_temperature_level_1_mean,soil_temperature_level_2_mean,soil_temperature_level_3_mean,soil_temperature_level_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,soil_temperature_level_1_min,soil_temperature_level_2_min,soil_temperature_level_3_min,soil_temperature_level_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,soil_temperature_level_1_max,soil_temperature_level_2_max,soil_temperature_level_3_max,soil_temperature_level_4_max,total_precipitation_sum,potential_evaporation_sum,surface_runoff_sum,sub_surface_runoff_sum
2001-01-01,176.14,1.89,-31.91,88.46,-12.79,-14.67,-1.23,-1.33,0.27,0.27,0.26,0.32,-2.44,-2.22,-1.37,0.09,176.02,-0.0,-57.05,88.09,-17.38,-19.51,-1.36,-1.65,0.27,0.27,0.26,0.32,-2.47,-2.22,-1.38,0.09,176.17,13.42,-7.07,88.69,-6.13,-9.52,-1.05,-0.73,0.27,0.27,0.26,0.32,-2.42,-2.22,-1.37,0.09,0.19,-0.05,0.0,0.7
2001-01-02,176.21,1.95,-26.18,87.73,-14.23,-17.54,-1.36,-1.48,0.27,0.27,0.26,0.32,-2.51,-2.24,-1.38,0.08,176.17,-0.0,-41.51,86.81,-17.1,-19.14,-1.7,-1.61,0.27,0.27,0.26,0.32,-2.55,-2.25,-1.39,0.08,176.24,14.99,-3.49,88.09,-12.75,-16.74,-1.21,-1.37,0.27,0.27,0.26,0.32,-2.47,-2.22,-1.38,0.09,0.04,-0.04,0.0,0.69
2001-01-03,176.85,1.71,-0.9,86.31,-10.45,-13.86,-1.1,-1.11,0.27,0.27,0.26,0.32,-2.57,-2.27,-1.39,0.07,176.24,-0.0,-23.48,85.92,-13.85,-16.42,-1.83,-1.6,0.27,0.27,0.26,0.32,-2.57,-2.29,-1.4,0.07,177.6,12.2,14.15,86.99,-7.81,-10.86,-0.32,-0.77,0.27,0.27,0.26,0.32,-2.55,-2.25,-1.39,0.08,1.33,-0.04,0.0,0.68
2001-01-04,179.51,1.95,-11.1,87.6,-10.94,-12.73,-0.8,-1.0,0.27,0.27,0.26,0.32,-2.56,-2.29,-1.4,0.07,177.92,-0.0,-37.25,87.14,-16.87,-18.65,-1.22,-1.52,0.27,0.27,0.26,0.32,-2.57,-2.29,-1.41,0.06,179.83,14.57,24.47,87.95,-7.16,-9.21,-0.41,-0.48,0.27,0.27,0.26,0.32,-2.55,-2.29,-1.4,0.07,2.21,-0.04,0.0,0.67
2001-01-05,179.86,2.43,-38.13,87.39,-18.03,-20.17,-1.07,-1.34,0.27,0.27,0.26,0.32,-2.6,-2.31,-1.42,0.06,179.84,-0.0,-51.52,87.06,-21.45,-23.69,-1.52,-1.78,0.27,0.27,0.26,0.32,-2.66,-2.33,-1.42,0.06,179.88,17.54,-21.17,87.8,-15.46,-17.78,-0.63,-1.09,0.27,0.27,0.26,0.32,-2.56,-2.29,-1.41,0.06,0.02,-0.04,0.0,0.67
2001-01-06,180.51,1.88,2.06,87.14,-13.35,-16.9,-1.65,-1.54,0.27,0.27,0.26,0.32,-2.69,-2.36,-1.43,0.05,179.88,-0.0,-38.25,86.4,-21.51,-23.77,-2.01,-1.76,0.27,0.27,0.26,0.32,-2.7,-2.38,-1.44,0.05,182.05,12.96,22.07,87.79,-8.37,-10.89,-1.41,-1.27,0.27,0.27,0.26,0.32,-2.66,-2.33,-1.42,0.06,2.15,-0.03,0.0,0.66
2001-01-07,196.39,1.32,-7.69,85.47,-6.03,-8.53,-2.14,-0.67,0.27,0.27,0.26,0.32,-2.61,-2.37,-1.44,0.05,182.77,-0.0,-45.72,85.03,-8.62,-10.81,-3.19,-1.78,0.27,0.27,0.26,0.32,-2.68,-2.38,-1.45,0.04,203.71,9.29,20.96,86.29,-3.48,-5.5,-1.63,0.7,0.27,0.27,0.26,0.32,-2.55,-2.35,-1.44,0.05,21.59,-0.09,0.0,0.65
2001-01-08,204.37,1.45,-14.61,85.8,-8.2,-11.86,-1.69,-0.74,0.27,0.27,0.26,0.32,-2.53,-2.34,-1.46,0.04,203.72,-0.0,-32.18,85.51,-9.0,-12.81,-1.98,-0.98,0.27,0.27,0.26,0.32,-2.55,-2.35,-1.46,0.04,205.08,10.2,-3.79,86.33,-5.17,-10.67,-0.98,-0.08,0.27,0.27,0.26,0.32,-2.51,-2.32,-1.45,0.04,1.34,-0.04,0.0,0.64
2001-01-09,205.65,2.23,-22.16,86.89,-11.06,-13.25,-0.8,-0.97,0.27,0.27,0.26,0.32,-2.51,-2.31,-1.47,0.03,205.16,-0.0,-41.49,86.42,-12.72,-14.76,-1.06,-1.16,0.27,0.27,0.26,0.32,-2.51,-2.32,-1.47,0.03,205.9,16.03,-2.93,87.58,-8.73,-11.54,-0.02,-0.7,0.27,0.27,0.26,0.32,-2.5,-2.3,-1.46,0.03,0.8,-0.03,0.0,0.64
2001-01-10,206.03,2.23,-27.6,88.47,-16.35,-18.25,-0.36,-0.8,0.27,0.27,0.26,0.32,-2.54,-2.31,-1.47,0.02,205.91,-0.0,-52.1,87.69,-21.35,-23.53,-1.27,-1.46,0.27,0.27,0.26,0.32,-2.57,-2.31,-1.48,0.02,206.08,16.19,-10.5,89.02,-12.31,-14.08,0.18,-0.42,0.27,0.27,0.26,0.32,-2.51,-2.3,-1.47,0.03,0.18,-0.01,0.0,0.63
