,basin,RMSE,KGE,Pearson-r,NSE,Num_obs,Bias
0,10,0.15058908743724198,-1.455931726291726,0.12718467551753596,-10.608248710632324,156.0,0.14145515859127045
1,118,,,,,,
2,120,,,,,,
3,122,,,,,,
4,123,,,,,,
5,124,,,,,,
6,130,0.3509054826311395,0.9114375570428231,0.9575046785926576,0.9011352136731148,270.0,0.05321281775832176
7,132,0.3597773290132397,-0.02935057396542895,0.5437807589503207,0.07661747932434082,368.0,0.028783762827515602
8,135,0.10239109989640005,-29109.031935607083,0.18583705042323334,-7859675.0,259.0,0.09371832758188248
9,136,0.05345345901230462,-5.1858945313903675,-0.13783078877887217,-29.931055068969727,281.0,0.043413229286670685
10,137,0.06254227892070136,,,-inf,181.0,0.05785811319947243
11,14,0.3481883466844154,0.704987347983808,0.9055115695154345,0.751091256737709,180.0,0.1745416820049286
12,140,0.03997889947303949,-0.2535135207096708,-0.05922396583063294,-3.279935359954834,181.0,0.02442413754761219
13,166,0.4067277849727506,0.815682828661511,0.9439007626116448,0.791174978017807,271.0,0.26685094833374023
14,17,0.22649333983486056,0.5280164925349893,0.832434277914847,0.5717784464359283,180.0,-0.11457344889640808
15,171,0.3877195643759795,0.8318674558687316,0.9307708932132999,0.810694620013237,90.0,0.20204728841781616
16,172,0.3447002260343786,0.8808721250223583,0.9389653407770245,0.8545626103878021,271.0,0.1028953492641449
17,173,0.34899479642311615,0.9222489822144834,0.9309009864612866,0.8633948862552643,632.0,0.03256124630570412
18,184,0.3104499689688892,0.9112586648572144,0.9389533969119926,0.8720344752073288,180.0,0.06317795813083649
19,185,0.3375729848394877,0.876143800346406,0.9430621241398794,0.8761277198791504,271.0,0.10840757191181183
20,197,0.05385970191244917,-0.18079707915285081,0.09589567286900193,-3.098454475402832,429.0,0.03705666586756706
21,21,0.0773741342125586,-15.283115889300088,-0.011414273182486574,-5.215782165527344,153.0,0.05925032123923302
22,212,,,,,,
23,214,,,,,,
24,216,0.12875626247878685,,,-inf,90.0,0.10329028218984604
25,217,,,,,,
26,219,,,,,,
27,220,,,,,,
28,221,,,,,,
29,222,,,,,,
30,223,,,,,,
31,225,,,,,,
32,226,,,,,,
33,23,0.1581685946892283,-3.3710852626488297,0.08081665226595228,-49.64334487915039,180.0,0.14860966801643372
34,230,0.08321694507801004,-8.02088595396591,-0.2774935015809765,-1.5420055389404297,270.0,0.046519652009010315
35,233,0.09186784050579054,-0.8164578474719133,0.057811560731019895,-2.403799533843994,542.0,0.0652344599366188
36,234,,,,,,
37,236,,,,,,
38,237,,,,,,
39,239,,,,,,
40,241,0.1268054029355112,-22.635251040618833,-0.04316042201223322,-4.194008827209473,542.0,0.09826148301362991
41,242,,,,,,
42,245,,,,,,
43,252,,,,,,
44,254,0.11728589774730357,-1.2137713612610752,0.21020372285799954,-1.4140701293945312,1083.0,0.08107517659664154
45,255,,,,,,
46,256,0.16170883102220818,-2.104966625029823,0.36800641194444,-0.9845852851867676,843.0,0.11013173311948776
47,267,0.1945850079724407,-0.39002207177358916,0.40544995027196684,-4.037524700164795,160.0,0.10345059633255005
48,274,0.04530787485458262,-0.39362372900262455,0.3324093068211562,-1.4765923023223877,451.0,0.031028268858790398
49,276,0.2002784556352987,0.43066529926239394,0.7109674978836326,0.28315091133117676,452.0,0.07122822105884552
50,277,0.1428035365156951,-2.603471735974392,0.24745018630685994,-8.641531944274902,420.0,0.07079239189624786
51,279,0.288431316177191,0.48970063025495736,0.8591546066100304,0.3974612355232239,1594.0,0.17429174482822418
