,basin,RMSE,KGE,Pearson-r,NSE,Num_obs,Bias
0,10,0.4146134471819122,0.9617546074699657,0.992760792157807,0.9846529718488455,174.0,-0.011891731061041355
1,118,,,,,,
2,120,,,,,,
3,122,,,,,,
4,123,,,,,,
5,124,,,,,,
6,130,0.38595418778144175,0.9795434787863881,0.9926099435965792,0.983319353312254,273.0,-0.1318868100643158
7,132,0.47481894869867197,0.9298861154682458,0.9936830133593613,0.9840366840362549,513.0,0.21809227764606476
8,135,0.3895027825350405,0.8543050584307664,0.9909762883090146,0.9713770225644112,374.0,0.2372056096792221
9,136,0.3987932673809999,0.9182716599551579,0.9920856101552068,0.9813206437975168,380.0,0.15746474266052246
10,137,0.4187072575518922,0.9091996648880067,0.99069757100065,0.9762984681874514,343.0,0.19568009674549103
11,14,0.45859078921348445,0.953314762506127,0.993122972576785,0.9818826839327812,182.0,0.2038796991109848
12,140,0.3981852387349257,0.8841475794155461,0.994755392805311,0.9806073270738125,233.0,0.22273315489292145
13,166,0.406293756622728,0.960398407317821,0.996109761776424,0.9868964273482561,273.0,-0.24570384621620178
14,17,0.39662750366699906,0.9283059122129184,0.9933398558257146,0.9816661514341831,182.0,0.20516200363636017
15,171,0.38787007656777533,0.9591153835518175,0.9927493132768181,0.9756926856935024,91.0,0.2427237331867218
16,172,0.3251649080560023,0.9872680949478442,0.9927094597033903,0.9849590538069606,273.0,-0.051424164324998856
17,173,0.34296267467149105,0.9620818601848818,0.9896335222506145,0.9783616717904806,637.0,-0.04627637192606926
18,184,0.282852376581882,0.9796261501318555,0.9948094864795376,0.9894129754975438,161.0,-0.015210309065878391
19,185,0.3726726272471136,0.9746511328849333,0.9898440463067029,0.9785796757787466,259.0,-0.08787281811237335
20,197,0.3442444929279432,0.9338166592073073,0.9936267586483213,0.9841473270207644,541.0,0.1507425159215927
21,21,0.5562540150615359,0.9449874217352009,0.9929440832692392,0.9836815409362316,182.0,-0.0023033868055790663
22,212,0.5448693964583198,0.9499990831197982,0.9891446429848288,0.9702573716640472,333.0,0.28119415044784546
23,214,0.7636544696356107,0.9166085654776966,0.9907820674233295,0.9481303207576275,308.0,0.6052881479263306
24,216,0.4194512857562712,0.9662319873476599,0.9919576134988504,0.9832885358482599,370.0,0.03225208818912506
25,217,0.4705640975331217,0.9134864521332664,0.9753200840317264,0.9456783942878246,204.0,0.09914188086986542
26,219,0.31150496138070444,0.9706104986314518,0.9902901203478744,0.9770676679909229,203.0,0.09936487674713135
27,220,0.36758328473709073,0.9615704328193261,0.9625613237699278,0.9229442253708839,178.0,0.06321297585964203
28,221,0.5204352637827347,0.8994656866302512,0.9756715262243393,0.9382916912436485,119.0,0.20121516287326813
29,222,0.5285450286467608,0.9424206636746864,0.9844183925050327,0.9524147398769855,183.0,0.31226131319999695
30,223,0.5593466053580851,0.9405300483864737,0.9801692518844529,0.9466473311185837,195.0,0.28664061427116394
