,basin,RMSE,KGE,Pearson-r,NSE,Num_obs,Bias
0,10,0.43984184874535315,0.9640645492895604,0.9680478994054291,0.9229654520750046,184,-0.17976943
1,118,0.781591531488132,0.5968314343881211,0.8552547064151496,0.32740503549575806,46,0.56839186
2,120,0.531137903392084,0.7914673425661083,0.8031981542593472,0.49756085872650146,45,0.20919399
3,122,0.4764537061737092,0.7992368098140983,0.8843986644919523,0.7771579921245575,45,0.05202554
4,123,0.6156526627110537,0.7480579315873084,0.7567183487979375,0.1903708577156067,43,0.38724634
5,124,0.514644470778638,0.86238646360869,0.8660345666679331,0.6480428576469421,41,0.24851008
6,130,1.177767675634361,0.8621144949114082,0.9246804541357843,0.8528312593698502,217,0.07553054
7,132,1.1888253696106639,0.8646317204170919,0.8939995793713296,0.7960414588451385,643,-0.1366467
8,135,0.6856224474863755,0.8808998695479306,0.9684540402443863,0.928113654255867,374,0.13996883
9,136,0.7471616601883312,0.9031201913984394,0.9694293226872867,0.9345032125711441,359,-0.11618606
10,137,0.7027600718916064,0.8867890267802915,0.9721503781777097,0.937267504632473,403,-0.09522145
11,14,0.4825119366923456,0.8701006753864635,0.9134706959848868,0.7235292196273804,184,0.25649294
12,140,0.6609310817181415,0.9632765338612228,0.980922570939725,0.9616663865745068,432,0.06766885
13,166,0.53943140426761,0.8604169786191018,0.9415436244475925,0.8703785687685013,256,-0.16085853
14,17,0.37570533382141674,0.9491875996855776,0.9743018112094373,0.9233986735343933,184,0.21769159
15,171,0.49007390348080887,0.896177347206364,0.9693277643044851,0.9199141636490822,113,0.21558748
16,172,0.4082417447014107,0.9688984653509309,0.9733217547047326,0.9466888047754765,275,0.04102229
17,173,0.384201100406729,0.9376494857324125,0.9670022641642173,0.9320766553282738,705,-0.07590504
18,184,0.4434756156019513,0.9637781369414479,0.9731192419682435,0.935160256922245,164,-0.18756795
19,185,0.4499739394324157,0.9107086150860436,0.9717302467816896,0.9400965012609959,193,-0.058280148
20,197,0.6376676684896985,0.9155423428559607,0.9582039215045326,0.9143556356430054,533,0.11657036
21,21,0.6907212479440966,0.9113097451192824,0.93752314572912,0.8210113644599915,174,-0.39289325
22,212,0.6606653496393587,0.8962623680947878,0.9391809029987821,0.8684573918581009,797,0.20880145
23,214,0.6350322222231266,0.8993216762268736,0.9542959691540926,0.8921590000391006,624,0.24999943
24,216,0.6038570734410003,0.9416299291786356,0.9620178907541306,0.9213075265288353,770,-0.13861817
25,217,0.38946716375118984,0.9497843168181178,0.9685961335933274,0.9263502210378647,414,0.122729115
26,219,0.4283223922268482,0.9664715451397873,0.9700542300184135,0.9359550103545189,402,0.09567757
27,220,0.42685385873700815,0.9334266844513868,0.9776121993497935,0.9428790584206581,419,0.19213644
28,221,0.46756067394812256,0.9138924453827532,0.9704412254422558,0.9191442728042603,276,0.23587066
29,222,0.5576385654286478,0.925889833151668,0.9305303565126108,0.852970615029335,439,0.14934444
30,223,0.6631825844357219,0.8711930430513203,0.8799351473973744,0.6350050270557404,439,0.37751555
31,225,0.6265120098290269,0.9472170434156864,0.9537424813456905,0.8951643854379654,785,0.22401337
32,226,0.7312414397040223,0.881871029875828,0.8834279628605918,0.7562476545572281,361,-0.11902748
33,23,0.5911211241096725,0.9310228933548095,0.9400185743857781,0.7664140611886978,190,0.41077954
34,230,0.8068555864145321,0.9443920420739831,0.9466911847903103,0.8859355673193932,727,-0.18872575
